borough,month,hour,is_rush_hour,is_weekend,cause_category,vehicle_type,target
BROOKLYN,5,0,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,1
UNKNOWN,7,20,0,1,Other_Unknown,SEDAN,0
BROOKLYN,5,3,0,1,Human_Error,SEDAN,1
UNKNOWN,4,13,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,1
BROOKLYN,4,9,1,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE,0
BROOKLYN,4,11,0,0,Human_Error,SEDAN,0
QUEENS,7,22,0,1,Distraction,STATION WAGON/SPORT UTILITY VEHICLE,1
QUEENS,4,7,1,1,Human_Error,SEDAN,0
BROOKLYN,4,7,1,0,Other_Unknown,SEDAN,1
MANHATTAN,4,15,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,1
UNKNOWN,6,17,1,0,Human_Error,STATION WAGON/SPORT UTILITY VEHICLE,1
BRONX,6,14,0,0,Human_Error,STATION WAGON/SPORT UTILITY VEHICLE,0
BRONX,6,16,1,0,DUI_Drugs,SEDAN,0
BRONX,5,8,1,0,Distraction,SEDAN,0
UNKNOWN,6,15,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
BROOKLYN,5,12,0,0,Other_Unknown,OTHER,1
MANHATTAN,12,21,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,1
QUEENS,5,18,1,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,6,11,0,0,Distraction,SEDAN,0
QUEENS,12,16,1,0,Human_Error,SEDAN,0
BROOKLYN,1,17,1,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,1,13,0,1,Distraction,STATION WAGON/SPORT UTILITY VEHICLE,1
BROOKLYN,6,10,0,0,Human_Error,SEDAN,1
UNKNOWN,1,13,0,0,Human_Error,SEDAN,0
UNKNOWN,1,18,1,1,Other_Unknown,PICK-UP TRUCK,0
BRONX,5,8,1,0,Other_Unknown,SEDAN,1
QUEENS,6,11,0,0,Distraction,SEDAN,0
BRONX,6,21,0,0,Road_Conditions,SEDAN,1
QUEENS,3,13,0,1,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,6,16,1,0,Aggressive_Driving,OTHER,1
UNKNOWN,1,19,0,1,Aggressive_Driving,SEDAN,0
UNKNOWN,5,18,1,0,Other_Unknown,SEDAN,0
UNKNOWN,4,16,1,0,Human_Error,BOX TRUCK,0
BROOKLYN,10,21,0,1,Other_Unknown,UNKNOWN,1
BROOKLYN,4,3,0,1,Road_Conditions,STATION WAGON/SPORT UTILITY VEHICLE,0
BROOKLYN,1,23,0,1,Other_Unknown,SEDAN,0
UNKNOWN,12,4,0,0,Human_Error,STATION WAGON/SPORT UTILITY VEHICLE,1
BRONX,12,2,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
MANHATTAN,10,10,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,6,0,0,0,Distraction,SEDAN,0
UNKNOWN,6,10,0,0,Human_Error,E-BIKE,1
BROOKLYN,10,15,0,0,Other_Unknown,SEDAN,1
MANHATTAN,4,19,0,1,Aggressive_Driving,SEDAN,0
BROOKLYN,9,7,1,0,Distraction,PICK-UP TRUCK,0
QUEENS,3,9,1,1,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
QUEENS,3,0,0,1,Other_Unknown,SEDAN,1
QUEENS,3,15,0,1,Distraction,SEDAN,1
MANHATTAN,3,9,1,1,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
BROOKLYN,3,14,0,0,Human_Error,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,3,9,1,0,Other_Unknown,PICK-UP TRUCK,0
BROOKLYN,4,16,1,1,Distraction,STATION WAGON/SPORT UTILITY VEHICLE,0
MANHATTAN,9,12,0,0,Human_Error,SEDAN,0
UNKNOWN,9,1,0,0,Distraction,SEDAN,0
BROOKLYN,12,17,1,1,Other_Unknown,SEDAN,1
QUEENS,4,8,1,1,Distraction,SEDAN,0
QUEENS,4,4,0,0,Other_Unknown,SEDAN,0
UNKNOWN,12,4,0,1,Human_Error,SEDAN,0
QUEENS,1,21,0,1,Human_Error,SEDAN,0
BROOKLYN,12,15,0,0,Other_Unknown,SEDAN,0
UNKNOWN,12,12,0,0,Other_Unknown,OTHER,0
BROOKLYN,1,19,0,1,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,1
MANHATTAN,5,18,1,0,DUI_Drugs,STATION WAGON/SPORT UTILITY VEHICLE,1
BRONX,5,13,0,1,Other_Unknown,SEDAN,0
UNKNOWN,5,15,0,1,Human_Error,STATION WAGON/SPORT UTILITY VEHICLE,1
UNKNOWN,3,18,1,0,Distraction,SEDAN,0
MANHATTAN,4,16,1,0,Distraction,OTHER,0
UNKNOWN,1,16,1,0,Other_Unknown,SEDAN,1
BRONX,4,0,0,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE,0
BROOKLYN,4,10,0,0,Distraction,OTHER,0
QUEENS,9,10,0,0,Human_Error,SEDAN,1
UNKNOWN,3,8,1,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
MANHATTAN,4,3,0,1,Distraction,STATION WAGON/SPORT UTILITY VEHICLE,1
UNKNOWN,4,12,0,0,Other_Unknown,OTHER,0
UNKNOWN,6,14,0,0,Human_Error,BOX TRUCK,0
BROOKLYN,12,16,1,1,Other_Unknown,SEDAN,0
UNKNOWN,6,17,1,0,Other_Unknown,SEDAN,0
UNKNOWN,6,12,0,1,Human_Error,SEDAN,0
MANHATTAN,6,19,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
MANHATTAN,9,18,1,0,Human_Error,STATION WAGON/SPORT UTILITY VEHICLE,0
BRONX,6,13,0,0,Human_Error,SEDAN,1
UNKNOWN,6,11,0,0,Other_Unknown,PICK-UP TRUCK,1
UNKNOWN,6,1,0,0,Other_Unknown,SEDAN,0
STATEN ISLAND,6,12,0,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,9,7,1,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,6,8,1,0,Human_Error,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,9,22,0,0,Human_Error,SEDAN,0
BROOKLYN,9,15,0,0,Aggressive_Driving,SEDAN,0
UNKNOWN,6,17,1,0,Distraction,SEDAN,0
UNKNOWN,9,2,0,0,Human_Error,PICK-UP TRUCK,1
STATEN ISLAND,6,14,0,0,Other_Unknown,SEDAN,0
BROOKLYN,9,6,0,0,Human_Error,SEDAN,0
QUEENS,9,8,1,0,Human_Error,SEDAN,0
BRONX,4,20,0,0,Aggressive_Driving,SEDAN,0
QUEENS,6,10,0,0,Human_Error,SEDAN,1
BROOKLYN,6,15,0,0,Other_Unknown,BUS,0
UNKNOWN,6,5,0,0,Distraction,BOX TRUCK,0
MANHATTAN,6,12,0,0,Distraction,PICK-UP TRUCK,0
MANHATTAN,6,7,1,0,Distraction,SEDAN,0
UNKNOWN,12,2,0,1,Vehicle_Fail,SEDAN,1
UNKNOWN,12,3,0,1,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
QUEENS,6,0,0,0,Other_Unknown,SEDAN,0
MANHATTAN,9,22,0,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE,1
QUEENS,12,17,1,1,Human_Error,SEDAN,0
QUEENS,6,16,1,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
BROOKLYN,6,16,1,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,6,23,0,0,Distraction,SEDAN,0
BROOKLYN,6,1,0,1,Distraction,SEDAN,0
BRONX,6,14,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,1
UNKNOWN,6,12,0,0,Road_Conditions,OTHER,1
UNKNOWN,6,23,0,0,Other_Unknown,BUS,0
UNKNOWN,4,5,0,0,Other_Unknown,SEDAN,1
UNKNOWN,9,13,0,0,Other_Unknown,SEDAN,0
BROOKLYN,5,10,0,1,Other_Unknown,SEDAN,0
UNKNOWN,6,11,0,0,Human_Error,STATION WAGON/SPORT UTILITY VEHICLE,1
BROOKLYN,6,17,1,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,6,18,1,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
BROOKLYN,9,15,0,0,Other_Unknown,SEDAN,0
